win_loss,ticker,entry_date,exit_date,ret_pct,days_held,bto_close,stc_close,z_bto,z_stc,swing_high_20d,swing_high_50d,broken_level,pct_above_broken_at_bto,swing_low_60d,fib_382,fib_500,fib_618,stc_dist_broken_pct,stc_dist_fib382_pct,stc_dist_fib500_pct,stc_dist_fib618_pct,entry_rule_pass,exit_class
W,TSLA,2025-09-15,2025-09-15,0.186,0,410.04,410.04,1.111,1.111,358.44,358.44,358.44,0.144,271.0,356.93,340.52,324.11,0.144,0.1488,0.2042,0.2651,A,OTHER
W,TSLA,2025-09-15,2025-09-15,0.1941,0,410.04,410.04,1.111,1.111,358.44,358.44,358.44,0.144,271.0,356.93,340.52,324.11,0.144,0.1488,0.2042,0.2651,A,OTHER
L,IONQ,2025-09-17,2025-09-17,-0.0899,0,65.44,65.44,0.656,0.656,47.23,47.88,47.88,0.3668,28.11,51.18,46.78,42.37,0.3668,0.2786,0.399,0.5445,n,OTHER
W,TSLA,2025-09-22,2025-09-23,0.0826,1,434.21,425.85,1.359,1.238,425.7,425.7,425.7,0.02,273.21,372.71,353.71,334.71,0.0004,0.1426,0.204,0.2723,B,LEVEL_RETEST
L,PLTR,2025-09-23,2025-09-25,-0.0062,2,182.55,179.12,-0.551,-0.739,177.9,190.0,177.9,0.0261,118.93,158.25,150.74,143.23,0.0069,0.1319,0.1883,0.2506,n,LEVEL_RETEST
W,IONQ,2025-09-24,2025-09-26,0.2988,2,73.86,67.28,0.993,0.718,70.43,70.43,70.43,0.0487,32.23,57.96,53.05,48.13,-0.0447,0.1609,0.2684,0.3978,n,FAST_TP
W,TSLA,2025-09-22,2025-09-26,0.0122,4,434.21,440.4,1.359,1.363,425.7,425.7,425.7,0.02,273.21,372.71,353.71,334.71,0.0345,0.1816,0.2451,0.3158,B,OTHER
W,IONQ,2025-09-29,2025-09-29,0.0594,0,64.26,64.26,0.586,0.586,76.13,76.13,,,33.33,52.44,48.8,45.15,,0.2253,0.3169,0.4234,n,OTHER
L,TSLA,2025-09-30,2025-09-30,-0.0824,0,444.72,444.72,1.371,1.371,444.98,444.98,,,273.21,379.2,358.96,338.73,,0.1728,0.2389,0.3129,B,OTHER
W,IONQ,2025-09-26,2025-10-01,0.0416,5,67.28,63.09,0.718,0.536,73.17,73.17,,,32.83,54.12,50.06,45.99,,0.1657,0.2604,0.3718,n,OTHER
W,AMD,2025-10-08,2025-10-10,0.2425,2,235.56,214.9,2.504,1.924,171.06,186.65,186.65,0.262,108.62,187.07,172.09,157.11,0.1514,0.1488,0.2488,0.3678,A,OTHER
L,TSLA,2025-10-14,2025-10-14,-0.0652,0,429.24,429.24,1.03,1.03,470.75,470.75,,,273.21,369.64,351.22,332.81,,0.1612,0.2221,0.2897,n,OTHER
W,MP,2025-10-14,2025-10-15,0.2286,1,98.65,89.85,1.629,1.191,82.23,82.5,82.5,0.1958,23.26,69.85,60.96,52.06,0.0891,0.2863,0.474,0.7259,A,OTHER
W,APLD,2025-10-15,2025-10-22,0.3431,7,37.76,30.62,2.536,1.633,29.98,29.98,29.98,0.2595,9.02,26.78,23.39,20.0,0.0213,0.1433,0.3091,0.5311,A,LEVEL_RETEST
W,AMD,2025-10-28,2025-10-31,0.0818,3,258.01,256.12,2.134,1.925,242.88,242.88,242.88,0.0623,126.82,207.9,192.42,176.93,0.0545,0.232,0.3311,0.4475,A,OTHER
W,GOOG,2025-11-10,2025-11-14,0.3452,4,290.59,276.98,1.943,1.357,291.93,291.93,,,173.88,246.01,232.24,218.46,,0.1259,0.1927,0.2679,B,FAST_TP
L,AAPL,2025-11-10,2025-11-14,-0.1164,4,269.43,272.41,1.695,1.647,277.32,277.32,,,201.5,243.48,235.46,227.45,,0.1188,0.1569,0.1977,B,OTHER
W,GOOG,2025-11-17,2025-11-18,0.2328,1,285.6,284.96,1.55,1.485,292.34,292.34,,,177.54,244.32,231.57,218.82,,0.1663,0.2306,0.3023,B,OTHER
L,NVDA,2025-11-25,2025-12-01,-0.2655,6,177.82,179.92,-0.473,-0.449,212.19,212.19,,,164.07,172.57,170.95,169.32,,0.0426,0.0525,0.0626,n,OTHER
W,TSLA,2025-12-17,2025-12-17,0.1054,0,467.26,467.26,0.821,0.821,458.87,474.07,458.87,0.0183,314.6,408.94,390.93,372.92,0.0183,0.1426,0.1953,0.253,n,LEVEL_RETEST
