ticker,theme,entry_date,exit_date,bars_held,opt_ret,exit_reason,cost,bto_close,stc_close,z_bto,z_stc,sh20,sh50,broken_level,pct_above_broken,pattern
LLY,biotech,2022-05-25,2022-05-27,2,-0.4131,disaster,1179.13,307.01,323.48,1.025,1.81,309.44,314.0,,,B
VST,critical_power,2022-05-27,2022-06-13,10,0.4724,sigma_target,199.93,26.31,23.5,1.25,-1.71,27.1,27.1,,,B
XPEV,ev_mobility,2022-06-23,2022-07-22,20,0.7216,sigma_target,437.27,32.97,24.92,1.327,-0.11,27.75,31.56,31.56,0.0447,A
PYPL,fintech,2022-07-27,2022-08-03,5,-0.4737,disaster,816.46,86.42,97.92,2.632,3.616,84.13,89.32,84.13,0.0272,AB
AFRM,fintech,2022-08-03,2022-08-16,9,-0.4713,disaster,643.48,31.89,39.91,1.346,2.226,30.73,31.08,31.08,0.0261,A
NIO,ev_mobility,2022-06-23,2022-08-26,45,-0.1627,time_stop,401.0,23.05,19.92,2.683,1.36,20.45,23.98,20.45,0.1271,A
CCJ,critical_power,2022-09-07,2022-09-23,12,0.4272,sigma_target,329.36,29.42,25.29,1.439,-0.131,29.95,29.95,,,B
BIIB,biotech,2022-08-18,2022-09-28,28,-0.9997,disaster,477.44,216.34,276.61,1.848,5.322,222.82,222.82,,,B
ABNB,consumer_apps,2022-10-21,2022-11-02,8,1.6389,sigma_target,793.42,119.95,94.41,1.548,-0.358,122.26,129.38,,,B
ALNY,biotech,2022-11-03,2022-11-30,18,-0.3494,disaster,1279.67,215.72,220.59,1.01,0.708,216.89,228.05,,,B
NFLX,tech_mega,2022-09-28,2022-12-01,45,-0.9823,time_stop,212.86,24.52,31.69,2.008,1.86,25.05,25.2,,,B
ALNY,biotech,2022-12-02,2022-12-16,10,-0.1703,disaster,1869.18,234.4,236.92,1.038,0.785,222.59,222.59,222.59,0.0531,A
AMAT,ai_compute,2022-11-30,2023-01-11,28,-0.3545,disaster,1011.68,109.6,110.06,2.996,2.104,112.12,112.12,,,B
PINS,consumer_apps,2023-01-11,2023-02-17,26,0.1386,sigma_target,257.99,27.01,24.43,1.539,-0.044,26.89,26.89,26.89,0.0045,B
NVO,biotech,2022-12-29,2023-03-07,45,-0.9975,time_stop,74.21,67.6,71.96,2.237,1.125,67.6,67.6,67.6,0.0001,B
DUOL,user_trades,2023-03-08,2023-03-21,9,-0.2201,disaster,1731.04,126.5,132.12,2.916,2.687,121.33,121.33,121.33,0.0426,A
RTX,space_defense,2023-02-22,2023-04-26,44,-0.2842,sigma_target,95.55,100.51,97.68,1.104,-0.287,102.06,103.95,,,B
AAPL,user_trades,2023-03-21,2023-05-08,33,-0.9541,disaster,317.01,159.28,173.5,1.654,1.68,156.33,157.38,157.38,0.0121,AB
ABNB,consumer_apps,2023-05-08,2023-05-11,3,1.3926,sigma_target,460.37,125.65,111.2,1.065,-0.118,125.94,144.63,,,B
AMZN,tech_mega,2023-04-27,2023-05-26,21,-0.7315,disaster,469.57,109.82,120.11,1.551,2.019,108.15,108.15,108.15,0.0154,AB
ANET,ai_compute,2023-05-26,2023-06-07,7,0.1593,sigma_target,563.7,42.59,38.9,1.012,-0.255,40.52,42.86,40.52,0.051,A
AMZN,tech_mega,2023-06-08,2023-07-13,23,-0.7742,disaster,438.23,124.25,134.3,1.957,1.769,126.39,126.39,,,B
GOOG,user_trades,2023-05-15,2023-07-13,40,-0.9171,disaster,339.7,116.96,124.83,2.535,1.297,110.6,110.6,110.6,0.0576,A
HOOD,user_trades,2023-07-13,2023-08-17,25,1.519,sigma_target,73.1,12.45,10.07,3.066,-0.05,10.91,10.91,10.91,0.1412,A
CCJ,critical_power,2023-07-13,2023-09-15,45,-0.9996,time_stop,119.28,32.34,40.3,1.462,2.011,33.0,33.0,,,B
ACHR,ev_mobility,2023-08-21,2023-09-25,24,0.3798,sigma_target,141.25,7.0,5.03,2.319,-0.035,7.1,7.1,,,B
CRWD,ai_software,2023-10-09,2023-11-03,19,-0.441,disaster,827.92,181.82,188.24,1.165,0.825,172.64,172.64,172.64,0.0532,A
CEG,critical_power,2023-10-06,2023-11-06,21,-0.9041,disaster,345.55,110.17,124.73,1.142,1.629,112.92,112.92,,,B
KLAC,ai_compute,2023-11-10,2023-11-14,2,-0.2289,disaster,1915.72,534.25,545.44,1.114,1.356,506.92,520.19,520.19,0.027,A
DELL,ai_compute,2023-11-10,2023-12-01,14,0.0553,sigma_target,179.24,73.5,71.93,1.017,-0.026,72.3,72.82,72.82,0.0093,B
